Summary: {Weight} {token}: {words[0:10]}
0.0011847    1 dandyism       : 婆娑羅
0.0011815    1 grandiose      : 大袈裟
0.0011798    1 burning        : 燎原
0.0011785    3 left           : 残り少な, 残り少ない, 小貝
0.0011738   18 person         : 私淑, 迦陵頻伽, 迦陵頻迦, 願人, 小祥, 他称, 懸子, 青少年, 人称, 対称, ...
0.0011547    1 overdone       : 大袈裟
0.0011517    4 move           : 捗る, 妙手, 尖む, 尖み
0.0011459    1 chromatic      : 盤渉
0.0011391    1 gaudiness      : 婆娑羅
0.0011344    1 modest         : 淑やか
0.0011328    1 bombastic      : 大袈裟
0.0011292    6 take           : 毟り取る, 称する, 称す, 懸ける, 懸かる, 懸る
0.0011194    2 dynasty        : 遼, 三省
0.0011193    3 Jupiter        : 歳星, 大歳, 太歳
0.0011177    1 polite         : 淑やか
0.0011060    1 B              : 盤渉
0.0010905   12 Buddha         : 南無阿弥陀仏, 阿弥陀, 懸仏, 妙法, 大願, 願かけ, 願掛, 願掛け, 本願, 口称, ...
0.0010872    8 voice          : 妙音, 迦陵頻伽, 迦陵頻迦, 寂, 尖り声, 尖らす, 小さい, 小声
0.0010844    7 make           : 捗る, 抄く, 尖む, 穢す, 願い出る, 連れ歩く, 懸ける
0.0010613    1 setting        : 燎原
0.0010576    3 tea            : 帛紗, 服紗, 袱紗
0.0010507    3 Stewartia      : 娑羅, 姫沙羅, 沙羅
0.0010431    3 forlorn        : 心寂しい, うら寂しい, 寂寞
0.0010394   14 desire         : 劣情, 願いごと, 願い事, 所願, 本願, 発願, 念願, 熱願, 願う, 願, ...
0.0010312    1 sentinel       : 歩哨
0.0010272    4 character      : 字源, 省筆, 源氏, 小物
0.0010227    4 contract       : 顰める, 懸かる, 懸る, 小便
0.0010184    1 chili          : 蕃椒
0.0010182    3 behavior       : 淑やか, 神懸かり, 神懸り
0.0010177    1 graceful       : 淑やか
0.0010149    1 exaggerated    : 大袈裟
0.0010035    1 eccentricity   : 婆娑羅
0.0009999    1 scant          : 残り少ない
0.0009990    2 pretentious    : 婆娑羅, 小賢しい
0.0009981    1 awesome        : 神懸かる
0.0009960    2 refined        : 淑やか, 原酒
0.0009950    2 gauze          : 薄紗, 紗
0.0009850    1 gentle         : 淑やか
0.0009815    1 subordinate    : 属僚
0.0009747    6 fall           : 降り頻る, 降頻る, 劣る, 降り懸かる, 降り懸る, 小春
0.0009685    3 Amitabha       : 南無阿弥陀仏, 弥陀, 阿弥陀
0.0009659    4 age            : 晩歳, 歳, 妙齢, 幼少
0.0009620    6 river          : 源頭, 水源, 源流, 源, 川原, 河原
0.0009472    4 paradise       : 寂光, 迦陵頻伽, 迦陵頻迦, 桃源
0.0009439    3 mysterious     : 妙用, 神妙, 玄妙
0.0009340    6 mean           : 陋劣, 下劣, 卑劣, 鄙劣, 穢い, 小人
0.0009339    1 incredible     : 神懸かる
0.0009272    5 god            : 神懸かる, 願かけ, 願掛, 願掛け, 立願
0.0009264    5 district       : 少領, 娑婆, 小菊, 小揚, 小揚げ
0.0009222    5 desolate       : 寂然, 寂寂, 寂寞, 寂れる, 寂しい
0.0009200    1 license        : 婆娑羅
0.0009171    3 cotton         : 綿屑, 更紗, 原綿
0.0009162    1 possessed      : 神懸かる
