Summary: {Weight} {token}: {words[0:10]}
0.0003156    1 race           : 中団
0.0003132    1 forming        : 結団
0.0003129    1 scope          : 範囲
0.0003112    1 bordering      : 四夷
0.0003108    3 foundation     : 財団, 営団, 国本
0.0003073    1 besiege        : 囲む
0.0003073    1 paling         : 囲い
0.0003069    3 destiny        : 因縁, 国運, 星回り
0.0003066    1 integrity      : 四維
0.0003065    1 scroll         : 図巻
0.0003063    3 adherence      : 固着, 固持, 固執
0.0003062    4 name           : 四夷, 固定, 国号, 国名
0.0003050    1 evil           : 悪因
0.0003050    1 divisor        : 因子
0.0003046    1 collective     : 団交
0.0003045    2 clump          : 団塊, 固まり
0.0003037    1 connected      : 因む
0.0003026    1 physical       : 園舎
0.0003026    1 fleet          : 船団
0.0003026    1 comfort        : 左団扇
