Summary: {Weight} {token}: {words[0:10]}
0.0003027    2 true           : 真蹟, 真跡
0.0003024    1 singe          : 焦げ跡
0.0003019   11 ring           : 踏み越す, 露払い, 踏み切る, 踏切る, 踏切り, 踏み切り, 踏切, 送り足, 足輪, そろい踏み, ...
0.0003009    1 stranger       : 捉まえる
0.0002989    3 leaping        : 雀躍, 躍り, 跳び
0.0002988    1 slave          : 捉われる
0.0002987    1 perceive       : 捉える
0.0002978    2 ballad         : 踊り歌, 踊歌
0.0002960    2 sweep          : 蹴手繰り, 足払い
0.0002956    1 detain         : 捉まえる
0.0002956    1 clutch         : 捉まえる
0.0002951    1 demanding      : 催促
0.0002932    1 adhere         : 捉われる
0.0002913    1 crawl          : 躄る
0.0002875    7 place          : 仏跡, 躍り出る, 踊り場, 踊場, 足踏み, 踏み場, 足ぶみ
0.0002871    3 bottom         : 躄る, 跳ね, 足
0.0002859    2 joy            : 小躍り, 雀躍
0.0002823    1 shift          : 躄る
0.0002822    2 marvel         : 奇蹟, 奇跡
0.0002781    1 prisoner       : 捉われる
0.0002756    1 restrain       : 捉まえる
0.0002748    3 motion         : 躍動, 歩み足, 天路
0.0002743    1 accelerate     : 促す
0.0002735    6 scratch        : つめ跡, ツメ跡, 爪跡, 踏切り, 踏み切り, 踏切
0.0002688    2 towards        : 捉まえる, 対露
0.0002686    2 landmark       : 史蹟, 史跡
0.0002671    1 hail           : 捉まえる
0.0002647    1 consonant      : 促音
0.0002644    1 folk           : 民踊
0.0002621    1 urging         : 催促
0.0002614    2 gap            : 距離, 飛躍
0.0002605    1 quicken        : 促す
0.0002589    3 leapfrog       : 跳び越える, 馬跳, 馬跳び
