Summary: {Weight} {token}: {words[0:10]}
0.0002194    7 taking         : 載貨, 出車, 輪番, 輪講, 従軍, 軽快, 暗転
0.0002175    1 provide        : 輔ける
0.0002169    3 thinking       : 軟らかい, 軟らか, 軽視
0.0002165    1 afferent       : 輸入
0.0002162    1 efferent       : 輸出
0.0002162    1 exportation    : 輸出
0.0002159    1 framework      : 軸組
0.0002155    6 careless       : 軽卒, 尻軽, 軽佻, 軽率, 軽々しい, 軽軽しい
0.0002132    2 future         : 輝かしい, 輝やかしい
0.0002130    1 promote        : 輔ける
0.0002130    2 carfare        : 車賃, 車代
0.0002130    2 cartage        : 車賃, 車代
0.0002130    2 tender         : 軟らかい, 軟らか
0.0002122    1 hamster        : 回し車
0.0002117    3 record         : 軍歴, 登載, 記載
0.0002094    6 service        : 軍歴, 軍務, 軍功, 軍役, 廃車, 従軍
0.0002089    1 elder          : 先輩
0.0002070    2 old            : 年輩, 火車
0.0002067    1 junior         : 後輩
0.0002065    4 prawn          : 車えび, 車エビ, 車海老, 車蝦
0.0002062    4 chariot        : 火車, 兵車, 火の車, 戦車
0.0002035    9 transfer       : 転送, 転籍, 転勤, 転院, 転入, 転出, 転写, 転移, 移転
0.0002029    1 save           : 輔ける
0.0002005    6 direction      : 転折, 転針, 転舵, 反転, 転進, 逆転
0.0002002    2 serial         : 連載, 掲載
0.0001966    4 hasty          : 軽卒, 軽挙, 軽はずみ, 軽率
0.0001955    2 spindle        : 縦軸, 主軸
0.0001920    1 spare          : 輔ける
0.0001912    3 point          : 軸, 枢軸, 転機
0.0001905    1 superior       : 先輩
0.0001896    4 soldier        : 軍卒, 軍装, 軍人, 足軽
0.0001881    1 contraband     : 密輸
0.0001873    1 thump          : 轟かす
0.0001842    1 age            : 年輩
0.0001839    2 market         : 軟調, 軟化
0.0001837    1 state          : 輔弼
0.0001828    1 smuggling      : 密輸
0.0001827    1 universal      : 輪宝
0.0001826    1 deafening      : 轟然
0.0001811    1 possessed      : 輪宝
0.0001810    2 let            : 轟かす, 載せる
0.0001805    6 place          : 載っける, 載せる, 転々, 転転, 転出, 退転
0.0001805    1 mixed          : 混載
0.0001803    2 central        : 枢軸, 中軸
0.0001792    2 gymnastic      : つり輪, 吊り輪
0.0001774    1 matchwood      : 軸木
0.0001755    2 listing        : 登載, 記載
0.0001750    2 dynasty        : 元軍, 禁軍
0.0001746    2 center         : 枢軸, 軸
0.0001743    1 allow          : 輪宝
0.0001727    1 pickup         : 軽トラ
0.0001722    1 tantric        : 軍荼利
