Summary: {Weight} {token}: {words[0:10]}
0.0001623    2 jargon         : 珍糞漢糞, 珍紛漢紛
0.0001611    4 embodiment     : 体現, 具現, 現れ, 現われ
0.0001601    3 amount         : 現高, 見せ玉, 建玉
0.0001592    1 maharaja       : 藩王
0.0001592    1 nawab          : 藩王
0.0001580    1 chemical       : 花王
0.0001579    1 former         : 前王
0.0001571    1 uppermost      : 宝珠
0.0001570    1 cone           : 球果
0.0001557    1 segment        : 環節
0.0001552    6 fried          : かに玉, 蟹玉, 半玉, 揚げ玉, 目玉, 玉子焼き
0.0001542    1 surrounded     : 環海
0.0001538    1 bulbil         : 珠芽
0.0001533    1 reply          : 珍答
0.0001519    1 reef           : 環礁
0.0001510    5 serving        : 斎王, 玉子とじ, 玉子綴じ, 替え玉, 替玉
0.0001508    1 moat           : 環濠
0.0001508    3 catch          : 捕球, 落球, 品玉
0.0001506    2 incoherent     : 珍糞漢糞, 珍紛漢紛
0.0001498    3 piece          : 珠玉, 珍聞, 小玉
0.0001488    3 absurdity      : 悖理, 背理, 頓珍漢
0.0001480    3 debt           : 現先, 整理, 義理
0.0001478    4 monarch        : 帝王, 聖王, 国王, 王者
0.0001465    1 monocyte       : 単球
0.0001463    1 belladonna     : 曼珠沙華
0.0001463    2 princess       : 斎王, 王女
0.0001442    1 grandmother    : 王母
0.0001438    3 heavy          : 球質, 剛球, 豪球
0.0001437    3 knot           : 玉結び, 玉どめ, 玉止め
0.0001434    4 administration : 現, 掌理, 経理, 監理
0.0001428    1 repurchase     : 現先
0.0001427    1 transcendent   : 文珠
0.0001425    1 worm           : 環節
0.0001425    1 wreath         : 花環
0.0001417    4 sports         : 珠, 玉入れ, 玉, 大玉
0.0001411    1 capital        : 王都
0.0001407    4 unreasonable   : 非理, 理屈, 理窟, 無理
0.0001407    1 finial         : 宝珠
0.0001380    2 nonsense       : 珍糞漢糞, 珍紛漢紛
0.0001369    1 grandfather    : 王父
0.0001365    4 article        : 珍品, 現品, 現物, 上玉
0.0001358    1 surrounding    : 環海
0.0001357    3 university     : 現役, 理念, 理科
0.0001356    2 thrown         : 球質, 球筋
0.0001350    1 essay          : 珠玉
0.0001350    1 accomplished   : 珠玉
0.0001348    1 cue            : 手球
0.0001333    1 black          : 黒玉
0.0001331    3 return         : 環流, 再現, 返球
0.0001328    3 place          : 斎王, 現地, 王座
0.0001317    1 bolide         : 火球
0.0001317    3 novel          : 珍奇, 珍しい, 珍らしい
0.0001314    2 heavens        : 四王天, 天球
0.0001310    1 schistosity    : 片理
0.0001308    1 garland        : 花環
0.0001306    1 wild           : 荒れ球
