Summary: {Weight} {token}: {words[0:10]}
0.0004245    4 ground         : 浄界, 切り畑, 切畑, 踏み留まる
0.0004236    2 spring         : 湯畑, 春田
0.0004223    3 ingenuity      : 智略, 知略, 大略
0.0004211    3 carapace       : 背甲, 甲羅, 甲殻
0.0004182    1 mobile         : 待画
0.0004181    3 kabuki         : 男方, 十八番, 茶番
0.0004174   13 something      : 男任せ, 申し立て, 申立, 申立て, 界, 変異, 田楽, 異変, 異状, 画餅, ...
0.0004156    2 fallow         : 切り畑, 切畑
0.0004140    3 screen         : 待画, 出番, 画面
0.0004090    3 community      : 町づくり, 町作り, 町造り
0.0004072    2 merchant       : 町屋, 町家
0.0004023    2 relationship   : 縁由, 男方
0.0004010    3 address        : 電略, 町域, 番地
0.0004000    3 dry            : 畑作, 乾田, 乾留
0.0003998    6 neighborhood   : 町名, 町内, 町, 界わい, 界隈, 交番
0.0003989    1 hot            : 湯畑
0.0003980    2 afraid         : 畏る, 畏れる
0.0003976    2 power          : 畜力, 異能
0.0003958    4 mountain       : 山畑, 山番, 男山, 留め山
0.0003948    5 challenge      : 申しこむ, 申し込む, 申し込み, 申込, 申込み
0.0003945    4 bath           : 男風呂, 男湯, 留め湯, 留湯
0.0003942    2 paving         : 石畳, 石畳み
0.0003933    5 apology        : 申しわけ, 申し分け, 申し訳, 申訳, 申分
0.0003928    1 discourteous   : 畏れ多い
0.0003908    4 way            : 異装, 経由, 一番, １番
0.0003891    1 barrier        : 結界
0.0003882    3 dress          : 異装, 略服, 略装
0.0003842    3 instruct       : 申しつける, 申し付ける, 申付ける
0.0003796    2 ordinary       : 略帽, 略装
0.0003788    2 reverence      : 畏れ, 畏敬
0.0003777    3 early          : 短甲, 男舞, 早番
0.0003770    1 shed           : 畜舎
0.0003768    3 development    : 町づくり, 町作り, 町造り
0.0003750    2 god            : 海界, 男神
0.0003746    6 turn           : 由る, 出番, 当番, 番, 順番, 留める
0.0003730    3 fold           : 折り畳む, 畳む, 畳み込む
0.0003700    7 watch          : 夜番, 火の番, 張り番, 張番, 立ち番, 立番, 番
0.0003683    3 gist           : 大略, 略, 概略
0.0003680    1 savage         : 鬼畜
0.0003659    1 awesome        : 畏れ多い
0.0003604    2 prostitution   : 花町, 苦界
0.0003599    1 august         : 畏れ多い
0.0003587    1 buttercup      : 田芥子
0.0003569    1 townwear       : 町着
0.0003562    2 press          : 畳みかける, 畳み掛ける
0.0003535    5 Japan          : 留日, 沼田鰻, 永田町, 申楽, 東男
0.0003530   11 art            : 民画, 画道, 画法, 蘭画, 画材, 画商, 画室, 板画, 版画, 画廊, ...
0.0003493    2 method         : 焼き畑, 焼畑
0.0003487    4 shift          : 遅番, 早番, 月番, 出番
0.0003482    3 industry       : 畜産, 政財界, 業界
0.0003481    1 job            : 働き甲斐
0.0003467    3 leader         : スケ番, 裏番, 番長
0.0003460    1 underworld     : 異界
0.0003454    1 cap            : 略帽
0.0003446    4 front          : 畳紙, 町屋, 結界, 町家
0.0003444    1 burden         : 役畜
0.0003443    3 stratagem      : 謀略, 計略, 策略
0.0003434    4 helmet         : 鉄甲, 甲冑, 甲胄, 甲
0.0003428    2 horse          : 馬甲, 番手
0.0003392    2 iron           : 鉄甲, 挂甲
0.0003392    2 repetition     : 畳字, 畳語
0.0003391    1 deception      : 詐略
0.0003390    1 gracious       : 畏れ多い
0.0003389    4 kimono         : 畳紙, 留め袖, 留袖, 男帯
0.0003388    5 mark           : 畳字, 略号, 界標, 画する, 画す
0.0003366    3 pillage        : 奪略, 略奪, 劫略
0.0003362    2 model          : 廃番, 型番
0.0003354    1 walking        : 町歩き
0.0003316    4 politics       : 政略, 党略, 政財界, 政界
0.0003297    1 genealogy      : 略譜
0.0003291    1 fraud          : 詐略
0.0003288    4 capture        : 略する, 略す, 略取, 攻略
0.0003282    1 derivation     : 由来
0.0003260    3 hick           : 田舎っぺ, 田舎もん, 田舎者
0.0003244    4 house          : 町屋, 町家, 番地, 田舎家
0.0003236    2 studio         : 画房, 画室
0.0003227    1 roadside       : 町石
0.0003224    1 vambrace       : 腕甲
0.0003224    1 brassart       : 腕甲
0.0003224    1 rerebrace      : 腕甲
0.0003213    3 omission       : 略, 中略, 省略
0.0003199    4 trick          : 謀略, 計略, 十八番, 策略
