Summary: {Weight} {token}: {words[0:10]}
0.0007400    2 calling        : 闇聴, 門違い
0.0007398    6 seclude        : 閉じこもる, 閉じ篭もる, 閉じ篭る, 閉じ籠もる, 閉じ籠る, 閉じ込もる
0.0007355    2 rash           : 無闇矢鱈, 無闇
0.0007351    1 swaggering     : 闊歩
0.0007336    1 bedchamber     : 閨房
0.0007320    1 industrial     : 財閥
0.0007266    2 excessive      : 無闇矢鱈, 無闇
0.0007252    7 close          : 閉め切る, 閉業, 閉じる, 閉ざす, 閉てる, 閉める, 閉まる
0.0007199    1 proofreading   : 校閲
0.0007146    5 talk           : 閨房, 閑話, 閑談, 閑語, 間語
0.0007142    1 strutting      : 闊歩
0.0007097    1 overthrow      : 倒閣
0.0007079    2 old            : 学閥, 闌ける
0.0007013    1 normal         : 正閏
0.0006979    1 openhearted    : 闊達
0.0006939    3 married        : 閨, 間男, 間夫
0.0006851    2 compete        : 闘わす, 闘う
0.0006834    2 someone        : 久闊, 閑
0.0006692    1 browsing       : 閲覧
0.0006687    1 pavilion       : 金閣
0.0006617    1 joining        : 入閣
0.0006541    3 contest        : 闘茶, 闘技, 闘い
0.0006527    2 personal       : 親閲, 私闘
0.0006476    1 magnanimous    : 闊達
0.0006395    1 eminent        : 閨秀
0.0006368    1 couple         : 閨
0.0006361    1 web            : 閲覧
0.0006344    1 accomplished   : 閨秀
0.0006342    2 arch           : 径間, 緑門
0.0006257    3 fierce         : 熱闘, 奮闘, 激闘
0.0006239    3 mud            : 埋み門, 穴門, 玄関
0.0006221    3 work           : 閊える, 間口, 谷間
0.0006207    1 revision       : 校閲
0.0006131    3 hard           : 奮闘, 力闘, 苦闘
0.0006104    4 meeting        : 閣議, 閉会, 閉じる, 開会
0.0006090    3 pit            : 闘わす, 間歩, 土間
0.0006079    5 calm           : 長閑やか, 安閑, 長閑, 長閑か, 閑か
0.0006034    5 Buddhist       : 仏閣, 教門, 仏間, 開帳, 開張
0.0006020    2 park           : 閉園, 開園
0.0006011    2 private        : 内閲, 民間
0.0005997    2 financial      : 財閥, 間引く
0.0005956    1 parade         : 閲兵
0.0005955    1 calendar       : 閏月
0.0005924    3 missing        : 闕失, 闕文, 闕本
0.0005911    1 vie            : 闘わす
0.0005894    1 household      : 閨門
0.0005888    1 interdental    : 歯間
0.0005883    4 institution    : 閉所, 閉院, 入門, 開院
0.0005881    1 rich           : 財閥
0.0005858    1 review         : 閲兵
0.0005851    2 inner          : 閨, 中門
0.0005846    6 office         : 閉所, 閉庁, 衙門, 開庁, 開所, 開局
0.0005827    1 talented       : 閨秀
0.0005808    1 pillow         : 閨房
0.0005801    1 courtesy       : 関雎
0.0005734    1 lady           : 閨秀
0.0005717    4 customs        : 海関, 税関, 通関, 関税
0.0005709    1 deficiency     : 闕失
0.0005689    3 group          : 財閥, 部門, 一門
0.0005627    1 formation      : 組閣
0.0005601    2 inactive       : 閑, 閑散
0.0005544    3 war            : 闘う, 闘い, 開戦
0.0005534    9 spare          : 閑, 補闕, 片手間, すき間, 透き間, 隙き間, 隙間, 合い間, 合間
0.0005524    8 wall           : 埋み門, 穴門, 壁間, 間仕切り, 狭間, 迫間, 間, 打ち開ける
0.0005510    2 lightning      : 閃電, 閃く
0.0005499    2 stew           : 闇鍋, 闇汁
0.0005491   22 interval       : 小閑, 少閑, 切れ間, 間合, 間合い, 晴れ間, 晴間, 狭間, 迫間, 波間, ...
0.0005488    2 back           : 閨, 背開き
0.0005458    9 relation       : 聯関, 連関, 関聯, 関連, 関係, 関わり, 続き間, 間がら, 間柄
0.0005411    2 prepared       : 闇鍋, 闇汁
0.0005363    1 argue          : 闘わす
0.0005361    1 golden         : 金閣
0.0005340    1 debate         : 闘わす
0.0005323    3 spirit         : 闘気, 闘志, 闘魂
0.0005316    4 related        : 関説, 関する, 関係, 一門
0.0005206    3 serene         : 長閑やか, 長閑, 長閑か
0.0005202    1 blackness      : 黒闇
0.0005201    1 harmony        : 関雎
0.0005175    1 throwing       : 闊歩
0.0005169    3 used           : 閨, 茅門, 間判
0.0005162    7 Japan          : 霞が関, 霞ケ関, 霞ヶ関, 御門, 関東, 関西, 開国
0.0005127    2 year           : 閏年, 年間
0.0005116    1 acting         : 闊歩
0.0005085    5 free           : 閑人, 閑, 閑散, 片手間, 開く
0.0005043    6 idle           : 閑話, 閑談, 閑散, 閑語, 閑居, 間語
0.0005000    2 fun            : 闇鍋, 闇汁
0.0004993    1 span           : 径間
0.0004942    5 end            : 閉講, 閉幕, 閉口, 開ける, 開く
0.0004849    1 allusion       : 関説
0.0004835    2 short          : 小閑, 少閑
0.0004833    1 weight         : 闊歩
0.0004784    1 marriage       : 関雎
0.0004716    3 scuffle        : 乱闘, 挌闘, 格闘
0.0004712    2 glint          : 閃光, 一閃
0.0004707    2 set            : 闘わす, 残闕
0.0004707    6 light          : 閃光, 一閃, 等閑, うす闇, 薄闇, 開ける
0.0004679    3 involvement    : 関り合い, 関わり合い, 関係
0.0004658    2 illegal        : 闇金, 闇
0.0004643    1 keeper         : 関守
0.0004640    2 imbecility     : 愚闇, 闇愚
0.0004623    3 conflict       : 闘諍, 闘争, 闘い
0.0004570    2 flag           : 閃く, 閃き
0.0004565    5 market         : 闇屋, 闇市, 闇, 閑散, 開拓
0.0004477    3 slow           : 閑, 閑か, 間怠い
0.0004460    3 combat         : 闘争, 戦闘, 死闘
0.0004396    2 twilight       : 夕闇, 宵闇
0.0004382    2 stone          : 埋み門, 穴門
0.0004379    2 opposite       : 径間, 見開き
0.0004317    2 dusk           : 夕闇, 宵闇
0.0004298    7 two            : 径間, 間宿, 壁間, 柱間, 間仕切り, 車間, 見開き
0.0004295    3 stoppage       : 閉そく, 閉塞, 閉止
0.0004294    1 bridge         : 径間
0.0004238    3 imprison       : 閉じこめる, 閉じ込める, 閉込める
0.0004223    5 leaving        : 出門, 閑, 門出, 開け放し, 開放
0.0004222    1 animal         : 闘わす
0.0004221   19 break          : 小閑, 少閑, 闕く, 雪間, 切れ間, 雨間, 間合, 間合い, 晴れ間, 晴間, ...
0.0004215    1 locking        : 関鍵
0.0004162    3 device         : 覗き機関, 覗機関, 機関
0.0004141    1 mourning       : 諒闇
0.0004112    1 brandish       : 閃かす
0.0004037    2 entanglement   : 関り合い, 関わり合い
0.0004024    2 empress        : 諒闇, 門院
0.0004003    2 sinecure       : 閑地, 閑職
0.0003978    2 entangled      : 関わりあう, 関わり合う
0.0003973    4 library        : 閉館, 閉架, 開館, 開架
0.0003956    1 vacation       : 閑
0.0003952    3 silent         : 森閑, 深閑, 閑か
0.0003931    3 garden         : 閉園, 茅門, 開園
0.0003878    2 implication    : 関り合い, 関わり合い
0.0003845    2 botanical      : 閉園, 開園
0.0003746    6 effort         : 奮闘, ひと手間, 一手間, 手間ひま, 手間暇, 手間隙
0.0003717    4 cover          : 闇討, 闇討ち, 閉ざす, 開き癖
0.0003678    1 vital          : 関鍵
0.0003672    1 holiday        : 閑
0.0003665    2 breather       : 小閑, 少閑
0.0003635    8 front          : 共闘, 本門, 玄関, 前門, 表門, 大門, 門出, 前開き
0.0003616    3 lull           : 小閑, 少閑, 谷間
