Summary: {Weight} {token}: {words[0:10]}
0.0009453    6 attached       : 附随, 付随, 附属, 附図, 附表, 附く
0.0009444    1 counterguard   : 堡障
0.0009308    4 distance       : 懸け隔てる, 懸隔てる, 隔てる, 隔たり
0.0009271    3 country        : 隣国, 隣邦, 防人
0.0009250    1 pigsty         : 陋屋
0.0009228    1 entrance       : 院試
0.0009218    5 interval       : 隔たり, 間隔, 隙き間, 隙間, 隙
0.0009170    3 tomb           : 陵墓, 山陵, 陵
0.0009047    1 snail          : 陸貝
0.0009041    2 indignity      : 陵辱, 陵虐
0.0009035    1 serving        : 陪膳
0.0009033    1 citrus         : 陳皮
0.0008910   11 former         : 陸前, 陸中, 大隅, 陸奥, 院号, 常陸, 周防, 三陸, 院, 阿波, ...
0.0008905    1 oxide          : 密陀
0.0008901    1 milestone      : 阪
0.0008887    1 alphabet       : 阿字
0.0008883    2 favoritism     : 分け隔て, 別け隔て
0.0008793    2 vassal         : 陪臣, 附庸
0.0008785    2 seasoning      : 陳皮, 隠し味
0.0008769    3 difference     : 階差, 隔たり, 懸隔
0.0008750    3 infinite       : 限りない, 限り無い, 無限
0.0008738    2 imaginary      : 迦陵頻伽, 迦陵頻迦
0.0008659    4 chart          : 陽線, 陰線, 附図, 附表
0.0008641    1 squalid        : 陋屋
0.0008608    1 baseball       : 阪神
0.0008428    6 force          : 全隊, 支隊, 枝隊, 本隊, 部隊, 引き降ろす
0.0008422    2 affront        : 陵辱, 陵虐
0.0008419    3 traditional    : 陳皮, 陸尺, 大陰
0.0008201    5 opening        : 寸隙, 空隙, 隙き間, 隙間, 開院
0.0008196    1 peel           : 陳皮
0.0008170    1 mediastinum    : 縦隔
0.0008159    3 harmful        : 陋習, 防除, 障る
0.0008151    3 ending         : お陀仏, 御陀仏, 降り
0.0008149    1 hovel          : 陋屋
0.0008149    1 abode          : 陋屋
0.0008136   10 surrender      : 失陥, 陥落, 陥る, 勧降, 降旗, 投降, 降伏, 降服, 降参, 降る
0.0008129    4 risky          : 険呑, 冒険, 際どい, 際疾い
0.0008126    1 unbroken       : 陽爻
0.0008092    1 dining         : 陪食
0.0008090    2 bucket         : お陀仏, 御陀仏
0.0008090    1 incline        : 阪
0.0008067    2 paradise       : 迦陵頻伽, 迦陵頻迦
0.0008047    9 hide           : 阿膠, 塗り隠す, 逃げ隠れる, 隠れひそむ, 隠れ潜む, おおい隠す, 覆い隠す, 隠れる, 隠す
0.0008038    9 army           : 陸海軍, 帰隊, 本隊, 陸相, 陸士, 陸軍, 陸海, 陣頭, 隠れ里
0.0008017    1 pot            : 降り賃
0.0008015    2 creature       : 迦陵頻伽, 迦陵頻迦
0.0008012    5 last           : 散り際, 月隠り, 死に際, 死際, 今際
0.0008008    3 gate           : 陸閘, 随身, 見附
0.0007930    8 sea            : 海陸風, 陸海空軍, 海陸, 降海, 陸海, 雨降らし, 波除け, 雨降
0.0007853    8 death          : 散り際, 死に際, 死際, 今際, 陣歿, 陣没, 中陰, 隠れ
0.0007841   16 hidden         : 隠れキャラ, 奥の院, 隠れ里, 隠し部屋, 島陰, 物陰, 木隠れ, 隠しだま, 隠し玉, 隠し球, ...
0.0007838    3 isolation      : 離隔, 隔離, 隔絶
0.0007836    1 cramped        : 陋屋
0.0007815    2 discrimination : 分け隔て, 別け隔て
0.0007762    1 carriage       : 陪乗
0.0007752    1 cottage        : 陋屋
0.0007750    2 ruined         : お陀仏, 御陀仏
0.0007730    2 unlimited      : 限りない, 限り無い
0.0007721    2 finished       : お陀仏, 御陀仏
0.0007703    1 vulgarity      : 卑陋
0.0007676    2 lead           : 密陀, 随従
0.0007676    1 hut            : 陋屋
0.0007675    4 right          : 右隣, 両隣, 両隣り, 隅
0.0007666    3 high           : 陵雲, 阿膠, 阿闍梨
0.0007612    1 nasty          : 陋劣
0.0007597   10 someone        : 阻む, 随える, 陥落, 隠し撮り, 附ける, 陰, 隠宅, 陰り, 陰口, 降ろす
0.0007595    4 building       : 左隣, 右隣, 院, 寺院
0.0007594    1 fortification  : 堡障
0.0007540    6 prevent        : 阻む, 防ぎとめる, 防ぎ止める, 防ぐ, 五障, 罪障
0.0007521    7 kabuki         : 隈, 隈取, 隈取り, 限, 限り, 附け, 陰間
0.0007478    1 esoteric       : 阿字
0.0007469    2 medicine       : 陳皮, 防風
0.0007469    3 collateral     : 附随, 付随, 附帯
0.0007467    5 door           : 隣戸, 隣, 隣り, 降り口, 障子
0.0007442    3 failure        : お陀仏, 御陀仏, 故障
0.0007386    3 base           : 陋劣, 地際, 陣取り
0.0007369    1 cathetus       : 隣辺
0.0007341    1 brother        : 阿兄
0.0007313    3 dying          : お陀仏, 御陀仏, 隠れ
0.0007291    6 state          : 附庸, 陳べる, 限, 限り, 附く, 中陰
0.0007257    6 positive       : 陽圧, 陽性, 陽極, 陽画, 陽転, 陽
0.0007245    5 month          : 隔月, 限月, 当限, 重陽, 月隠り
0.0007238    1 grandfather    : 阿翁
0.0007205    4 following      : 追随, 随伴, 随順, 随従
0.0007187    1 store          : 阪神
0.0007162    4 year           : 隔年, 陳, 陰祭, 陰祭り
0.0007141    3 attendance     : 陪席, 随伴, 登院
0.0007115    1 protuberance   : 隆起
0.0007115    1 uplift         : 隆起
0.0007107    2 watertight     : 防浸, 防水
0.0007092    9 something      : 陪観, 出陳, 陥れる, ひた隠し, 直隠し, 隠秘, 目隠し, 陰, 隠し持つ
0.0007022    1 slope          : 阪
0.0006976    2 habit          : 陋習, 附く
0.0006954    1 wickedness     : 卑陋
0.0006931    2 downstairs     : 下階, 階下
0.0006919    4 home           : 陋屋, 原隊, 陣取り, 目隠し
0.0006912    1 food           : 陪膳
0.0006856    9 descent        : 上り降り, 昇り降り, 登り降り, 来降, 降臨, 降下, 滑降, 下降, 天降り
0.0006849    1 skyscraping    : 陵雲
0.0006846    2 assault        : 陵辱, 陵虐
0.0006818    3 association    : 隣組, 陸連, 交際
0.0006800    3 space          : 間隔, 空隙, 隙
0.0006773    2 Holland        : 阿蘭陀, 和蘭陀
0.0006726    2 pitfall        : 陥穽, 陥し穴
0.0006716    3 number         : 陽数, 階数, 阿僧祇
0.0006697    2 lattice        : 阿弥陀, 阿彌陀
0.0006685    9 shadow         : 陰線, 隈, 附ける, 葉陰, 日陰, 陰り, 陰, 陰影, 陰翳
0.0006644    3 natural        : 天険, 防除, 防災
0.0006644    5 delivery       : 中限, 当限, 限月, 限, 限り
0.0006634    4 flag           : 隊旗, 降納, 降旗, 降ろす
0.0006618    1 dried          : 陳皮
0.0006610    2 endless        : 限りない, 限り無い
0.0006602    1 upheaval       : 隆起
0.0006584    1 external       : 出隅
0.0006567    4 different      : 懸け隔たる, 懸隔たる, 隔世, 転院
0.0006555    1 landward       : 陸側
0.0006551    3 practice       : 陋習, 実際, 魔障
0.0006546    2 mention        : 前陳, 陳べる
0.0006545    1 waterproof     : 防浸
0.0006521    2 humble         : 陋屋, 降る
0.0006516    4 penis          : 陽物, 陽根, 陰核, 陰茎
0.0006498    1 jury           : 陪審
0.0006462    3 five           : 五陰, 重陽, 五障
0.0006433    1 dislike        : 固陋
0.0006405    2 occasional     : 随感, 随想
0.0006404    2 sticking       : 固陋, 附着
0.0006389    2 internal       : 入隅, 内障
0.0006388    1 dirty          : 陋巷
