Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0004674    6 removed        : 離れ, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0004627    2 sublime        : 雄大, 雄渾
0.0004626    1 choripetalous  : 離弁
0.0004579    6 detachment     : 分離, はく離, 剝離, 剥離, かい離, 乖離
0.0004569    1 colloquial     : 雅俗
0.0004557    1 gooseneck      : 雁首
0.0004525    1 layoff         : 解雇
0.0004521    1 prose          : 雅馴
0.0004510    5 hard           : 難物, 難しい, 難航, 難し, 集大成
0.0004498    1 generosity     : 雅量
0.0004484    2 grand          : 雄図, 雄大
0.0004476    2 grateful       : 有り難い, 有難い
0.0004472    1 four           : 雀頭
0.0004471    2 lesser         : 雁金, 雁が音
0.0004432    1 tolerance      : 雅量
0.0004408    3 species        : 山雀, 雁皮, 雀鯛
0.0004401    1 magnanimity    : 雅量
0.0004340    1 polypetalous   : 離弁
0.0004301    6 call           : 雁金, 雁が音, 召し集める, 呼び集める, 借り集める, 招集
0.0004244    1 umbrella       : 雌松
0.0004237    3 breakaway      : 離反, 離叛, 離脱
0.0004236    3 solitary       : 孤雁, 離れ家, 離れ島
0.0004200    3 house          : 雑作, 家雀, 離れ家
0.0004177    1 winning        : 雀頭
0.0004173    2 language       : 雅語, 雑言
0.0004089    2 literary       : 雅文, 雑文
0.0004088    1 zigzag         : 雁木
0.0004077    2 thank          : 有り難う, 有難う
0.0004029    6 criticism      : 論難, 弁難, 批難, 非難, 難, 雑音
0.0003962    3 war            : 兵難, 雄たけび, 雄叫び
0.0003950    1 carefree       : 優雅
0.0003930    1 erudition      : 博雅
0.0003917    6 remote         : 離れ島, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0003881    2 thanks         : 有り難う, 有難う
0.0003869    2 aircraft       : 離昇, 離発着
0.0003862    1 fluency        : 雄弁
0.0003859    1 comfortable    : 優雅
0.0003837    1 husband        : 雄
0.0003833    1 player         : 雀士
0.0003811    1 shaped         : 雁首
0.0003758    2 chanticleer    : 雄鳥, 雄鶏
0.0003750    2 soaring        : 揚げ雲雀, 揚雲雀
0.0003744    2 dish           : 雑菜, 雑煮
0.0003727    2 welcome        : 有り難い, 有難い
0.0003708    3 steep          : 嶮難, 険難, 難路
0.0003688    2 hero           : 老雄, 英雄
0.0003672    2 gratitude      : 有り難い, 有難い
0.0003664    3 fry            : 雑喉, 雑魚, 雑兵
0.0003621    1 japonica       : 雀榕
0.0003615    2 mountain       : 雄峰, 離山
0.0003613    2 rooster        : 雄鳥, 雄鶏
0.0003605    2 knowledge      : 博雅, 雑学
0.0003526    1 ambitious      : 雄図
0.0003515    5 hardship       : 難渋, 難儀, 困難, 苦難, 難
0.0003497    1 individual     : 雅人
0.0003497    6 go             : 手離す, 取り離す, 取離す, 離れる, 手離し, 子離れ
0.0003496    1 titmouse       : 山雀
0.0003496    1 Poecile        : 山雀
0.0003479    4 release        : 取り離す, 取離す, 遊離, 手離す
0.0003466    2 man            : 雄, 女難
0.0003461    5 stir           : 扱き雑ぜる, 雑ぜっ返す, 雑ぜ返す, 雑ぜる, 掻き雑ぜる
0.0003447    1 minor          : 四十雀
0.0003415    1 bravery        : 雄武
0.0003406    1 dismissal      : 解雇
0.0003404    1 class          : 雅味
