Summary: {Weight} {token}: {words[0:10]}
0.0008892   10 record         : 実紀, 記錄, 記録, 記, 実記, 旧記, 書き記す, 戦記, 書記, 記載
0.0008882    7 era            : 西紀, 皇紀, 紀年, 世紀, 紀元, 改号, 改元
0.0008839    5 sex            : 泡姫, 色ボケ, 色呆け, 色気, 色魔
0.0008698    7 history        : 書紀, 実紀, 紀, 実記, 戦記, 記, 縁起
0.0008669   11 dust           : 捲き起こす, 捲き起す, 巻き起こす, 巻き起す, 巻起こす, 巻起す, まき起こす, 捲き上げる, 巻き上げる, 巻き揚げる, ...
0.0008664    2 radical        : 邑, 包構え
0.0008651    1 attendant      : 妃嬪
0.0008617    1 moan           : 咆える
0.0008617    5 talk           : 巷説, 艶聞, 捲したてる, 捲し立てる, 言い包める
0.0008611    1 perforce       : 已むなく
0.0008535   21 embrace        : 抱きかかえる, 抱き抱える, 抱きよせる, 抱き寄せる, 抱き合う, 抱きすくめる, 抱き竦める, 抱擁, 抱合, 抱きつく, ...
0.0008510   11 love           : 艶種, 艶物, 艶事, 艶聞, 艶福, 艶書, 艶, 色恋, 色, 女色, ...
0.0008457    1 worker         : 泡姫
0.0008388    1 impregnable    : 攻め倦む
0.0008380    1 bath           : 泡風呂
0.0008367    1 noble          : 公妃
0.0008355   26 rolled         : 巻纓, 太巻き, だし巻き, 出し巻き, 細巻き, 巻き癖, 巻きもの, 巻き物, 巻物, のり巻き, ...
0.0008322   33 roll           : 太巻き, 捲し上げる, 捲る, 捲く, 捲き込む, 捲き上げる, 手巻き, 細巻き, 巻き上がる, 手巻, ...
0.0008321    1 cnida          : 刺胞
0.0008321    1 nematocyst     : 刺胞
0.0008238    3 circle         : 大圏, 圏, 三つ巴
0.0008204    3 bark           : 咆える, 檜皮色, 黄蘗色
0.0008195    2 fast           : 忌み日, 節忌
0.0008170    5 lose           : 倦む, 倦きる, 飽きる, 色あせる, 色褪せる
0.0008140    1 dogfight       : 巴戦
0.0008118    1 correspondence : 包袋
0.0008104    1 bay            : 咆える
0.0008088    1 enough         : 食べ飽きる
0.0008017    1 carnage        : 巷
0.0007985    2 abstain        : 已める, 絶つ
0.0007941    1 astrology      : 忌み日
0.0007905   15 colored        : 色校, 色あざやか, 色鮮やか, 色水, 色柄, 色糸, 色よい, 色好い, 色良い, 有色, ...
0.0007872    2 shout          : 咆える, 絶叫
0.0007841    7 blow           : 吹き捲る, ひと泡, 一泡, 捲き上げる, 巻き上げる, 巻き揚げる, 巻上げる
0.0007761    1 offensive      : 攻め倦む
0.0007713    5 religious      : 祭祀, 節忌, 改宗, 忌, 忌み
0.0007691    3 fed            : 倦きる, 飽き飽き, 飽きる
0.0007678    1 abolish        : 已める
0.0007678    1 discontinue    : 已める
0.0007590    5 special        : 港区, 特配, 絶技, 特記, 異色
0.0007586    1 option         : 已むなく
0.0007543    4 air            : 肺胞, 気泡, 憂色, 色
0.0007512    1 ward           : 港区
0.0007505    1 necessity      : 已むなく
0.0007438    1 status         : 包袋
0.0007416    6 memory         : 紀念, 記性, 強記, 記念, 記憶, 想起
0.0007401    1 file           : 包袋
0.0007381   15 something      : 泡影, 太巻き, 水の泡, 細巻き, 布包み, 発起, 肥し, 肥やし, 濡れ色, 起こし, ...
0.0007364    1 entrance       : 港口
0.0007357    3 left           : 疱瘡, 左記, 赤色
0.0007296    1 pray           : 祀る
0.0007260    2 refrain        : 已める, 忌む
0.0007214    5 seductive      : 艶女, 艶かしい, 艶めかしい, 艶笑, 色仕掛け
0.0007192    1 cry            : 咆える
0.0007159    1 F              : 勝絶
0.0007134    1 continue       : 攻め倦む
0.0007092    2 abandon        : 已める, 捲る
0.0007079    6 text           : 圏点, 国記, 改訂, 補記, 書き起し, 書き起こし
0.0007073    1 female         : 妃嬪
0.0006996    1 knowledge      : 圏域
0.0006987    1 crossroads     : 巷
0.0006957    1 cancel         : 已める
0.0006909    7 baby           : 抱っこ紐, 抱きぐせ, 抱き癖, 抱っこ, 抱えこむ, 抱え込む, 抱く
0.0006907    1 brag           : 吹き捲る
0.0006879    1 quit           : 已める
0.0006807    3 excellence     : 勝絶, 超絶, 卓絶
0.0006772    1 ye             : 己等
0.0006770    3 sick           : 倦きる, 飽き飽き, 飽きる
0.0006766    6 word           : 巷, 忌み言葉, 忌み詞, 忌言葉, 忌詞, 字配り
0.0006739    1 boast          : 吹き捲る
0.0006667    2 unlucky        : 忌み日, 忌まわしい
0.0006660    3 late           : 已に, 捲り札, 合巻
0.0006654    1 chromatic      : 勝絶
0.0006633    6 scenery        : 勝絶, 絶景, 秋色, 春色, 水色, 景色
0.0006598   12 writing        : 並記, 併記, 記譜, 表記, 絶筆, 自記, 書記, 誤記, 明記, 起稿, ...
0.0006596   11 colors         : 色校, 減色, 調色, 色数, 七色, 禁色, 多色, 雑色, 五色, 色々, ...
0.0006551    1 blastula       : 胞胚
0.0006548   10 start          : 皇紀, 紀年, 起首, 起始, 起ち上がる, 書き起こす, 書き起す, 起こす, 起す, 巻頭
0.0006547    1 according      : 忌み日
0.0006513    1 world          : 巷間
0.0006471    1 cirque         : 圏谷
0.0006471    1 cwm            : 圏谷
0.0006471    1 corrie         : 圏谷
0.0006437   25 cause          : 捲き起こす, 捲き起す, 巻き起こす, 巻き起す, 巻起こす, 巻起す, まき起こす, 抱き合せる, 抱き合わせる, ひき起こす, ...
0.0006407    8 starting       : 配牌, 号砲, 開港, 絶, 発起, 起動, 起点, 起業
0.0006344    2 military       : 軍紀, 戦記
0.0006342    4 fasting        : 絶飲食, 物忌, 物忌み, 絶食
0.0006339    2 pillow         : 抱きまくら, 抱き枕
0.0006333    1 office         : 包袋
0.0006327   11 package        : 包み物, 紙包み, 抱合せ, 抱合わせ, 抱き合せる, 抱き合わせる, 抱き合せ, 抱き合わせ, 小包, 小包み, ...
0.0006326    2 battle         : 巷, 砲戦
0.0006322    2 spore          : 芽胞, 胞子
0.0006265    2 transient      : 泡影, 泡沫
