Summary: {Weight} {token}: {words[0:10]}
0.0004394    4 wind           : 虎落笛, 間切る, 風切, 風切り
0.0004356    1 retirement     : 出廬
0.0004327    1 scalp          : 地膚
0.0004291    1 tired          : 待ち侘びる
0.0004287    2 unexpected     : 慮外, 不慮
0.0004285    1 affront        : 陵虐
0.0004257    2 tragic         : 悲劇, 惨劇
0.0004255    3 thoughtful     : 深慮, 熟慮, 懇切
0.0004229    3 opinion        : 心慮, 託する, 託す
0.0004228    1 context        : 膚
0.0004224    2 deliberate     : 深慮, 慮る
0.0004223    3 residential    : 宅造, 宅地, 住宅
0.0004204    1 shrimp         : 虎海老
0.0004196    1 extortion      : 虎落
0.0004196    1 pine           : 侘びる
0.0004196    2 pretentious    : ご託, 御託
0.0004180    1 treason        : 悪虐
0.0004178    2 hollow         : 虚ろ, 虚
0.0004170    6 water          : 濾水, 湯切り, 堀切り, 堀切, 水切り, 切る
0.0004159    1 deleterious    : 劇物
0.0004158    1 temperament    : 膚
0.0004111    1 treatment      : 苛虐
0.0004081    3 Edo            : 虚舟, 戯作, 切腹
0.0004071    4 mountain       : 赤膚, 切れっ処, 切戸, 切り崩す
0.0004037    3 silver         : 蘆荻, 七珍, 七宝
0.0004035    1 intimate       : 膚
0.0004017    1 foothold       : 虎挟み
0.0004016   64 cutting        : 切り直す, 切り粉, 歯切り, 骨切り, 断切, 切土, くし切り, 櫛切り, 飾り切り, ざく切り, ...
0.0004008    2 tedious        : ご託, 御託
0.0003994    1 wait           : 待ち侘びる
0.0003989    3 humorous       : 戯称, 戯文, 戯評
0.0003965    6 wood           : 膚, 切り粉, 木切れ, 板切れ, 棒切, 棒切れ
0.0003927    3 housing        : 社宅, 役宅, 住宅
0.0003925    2 idea           : 尊慮, 賢慮
0.0003921    1 waiting        : 待ち侘びる
0.0003849    6 art            : 侘び寂び, 切り紙, 切紙, 切り絵, 切絵, 紙切り
0.0003833   16 sword          : 地膚, 剣劇, 切り殺す, 胴切り, 試し切り, 切り掛かる, 切り掛る, 切掛かる, 切掛る, 首切り, ...
0.0003790    1 disposition    : 膚
0.0003770    2 oracle         : 神託, 託宣
0.0003764    2 discretion     : 思慮, 遠慮
0.0003741    1 nickname       : 戯称
0.0003739    1 humiliation    : 陵虐
0.0003698    1 heat           : 劇暑
0.0003698    1 sense          : 侘び寂び
0.0003673    2 contact        : 膚, 切点
0.0003670    3 heavens        : 大虚, 太虚, 白虎
0.0003660    2 revelation     : 神託, 託宣
0.0003659    3 commission     : 嘱託, 属託, 委託
0.0003627    1 Buddha         : 毘盧遮那
0.0003594    2 commitment     : 付託, 附託
0.0003591    2 cavity         : 虚ろ, 虚
0.0003589    2 trust          : 信託, 委託
0.0003586    7 assault        : 陵虐, 切り掛かる, 切り掛る, 切掛かる, 切掛る, 切り取り, 切取り
0.0003583    1 mistreatment   : 虐待
0.0003577    1 available      : 買い切る
0.0003544    4 statement      : ご託, 御託, 仕切り書, 仕切書
0.0003477    3 extreme        : 繁劇, 劇しい, 劇的
0.0003470    3 violent        : 劇震, 劇しい, 劇甚
0.0003454    1 masochism      : 自虐
0.0003424    4 character      : 膚, 嘘字, 切瑳, 切磋
0.0003416    1 naked          : 素膚
0.0003399    3 rumor          : 虚聞, 虚伝, 虚説
0.0003365    1 abusive        : 叱声
0.0003324    1 root           : 虚根
0.0003313    3 tease          : 虐める, 悪戯心, 戯らす
0.0003308    2 exhausting     : 劇職, 劇務
0.0003291   18 short          : 短慮, 寸劇, 押切, 散切り, 切り髪, 切髪, 跡切れる, 途切れる, 切れる, 切りつめる, ...
0.0003269    2 submission     : 付託, 附託
0.0003265    2 blade          : 地膚, 試し切り
0.0003248    4 speech         : ご託, 御託, 区切り, 句切り
0.0003231    6 matter         : 熟慮, 託する, 託す, 切りこむ, 切り込む, 切込む
0.0003214    3 everything     : 買い切る, 見切る, 一切
0.0003203    1 grass          : 蘆荻
0.0003175    3 steel          : 虎挟み, 切り火, 切火
0.0003150    2 primordial     : 大虚, 太虚
0.0003143    6 cutter         : 切り手, 押切, ねじ切り, 螺子切り, 押し切り, 押切り
