Summary: {Weight} {token}: {words[0:10]}
0.0006962    1 trip           : 催行
0.0006934    2 dying          : 獲麟, 焦がれ死に
0.0006906    1 sow            : 雌豚
0.0006884    8 light          : 耀く, 耀かす, 帷子, 雀色, 天婦羅, 天麩羅, 集光, 集束
0.0006873    4 kabuki         : 出囃子, 囃, 囃子, 囃子方
0.0006870    2 apprentice     : 雛妓, 丁稚
0.0006860    4 music          : 祭り囃子, 祭囃子, 催馬楽, 雅楽
0.0006843    1 object         : 隻影
0.0006841    1 surrounding    : 擢んでる
0.0006829    1 spiritualism   : 唯心
0.0006807    4 hand           : 隻手, 雀頭, 携える, 携帯
0.0006785    3 vulgar         : 雌豚, 雅俗, 猥雑
0.0006780    1 landscape      : 擢んでる
0.0006778    1 ayu            : 稚鮎
0.0006773    1 materialism    : 唯物
0.0006771    1 moraine        : 堆石
0.0006757    2 blessing       : 有難み, 有難味
0.0006743   17 progress       : 躍進, 飛躍, 改進, 推移, 進捗, 急進, 進境, 進運, 進度, 漸進, ...
0.0006722    1 hour           : 獲麟
0.0006713    4 child          : 雛妓, 稚児, 稚, 手離す
0.0006654    3 stand          : 擢んでる, 雛壇, 雛段
0.0006631    2 nab            : かっ攫う, 掻っ攫う
0.0006602    4 sake           : 白鶴, 雄町, 進ぜる, 進ずる
0.0006578    4 time           : 惟, 維, 囃す, 推移
0.0006574    1 lower          : 下焦
0.0006572    1 identity       : 誰何
0.0006550    2 tower          : 擢んでる, 飛び離れる
0.0006543    1 variable       : 確変
0.0006513    2 abduct         : 引っ攫う, 攫う
0.0006508    1 sweetfish      : 稚鮎
0.0006504    1 middle         : 中焦
0.0006498    1 land           : 神籬
0.0006495    3 courage        : 奮い起こす, 奮い起す, 奮う
0.0006460    1 result         : 収穫
0.0006437    1 phenomena      : 唯心
0.0006436    2 virtue         : 有難み, 有難味
0.0006431    1 manifestation  : 倶利迦羅
0.0006405    1 sun            : 七曜
0.0006390    7 stir           : 奮激, 躍らす, 扱き雑ぜる, 雑ぜっ返す, 雑ぜ返す, 雑ぜる, 掻き雑ぜる
0.0006388    1 unknown        : 誰何
0.0006383    3 god            : 惟神, 護法, 朱雀
0.0006376    1 everyone       : 誰人
0.0006368   25 difficult      : 難役, 難化, 難問, 難産, 難文, 難場, 難読, 難字, 難語, 難件, ...
0.0006362    1 moon           : 七曜
0.0006341    1 outstanding    : 擢んでる
0.0006339    4 party          : 離宴, 離筵, 催す, 離党
0.0006334    2 aground        : 坐礁, 座礁
0.0006313    7 hard           : 奮闘, 奮戦, 難物, 難しい, 難航, 難し, 集大成
0.0006280    3 incense        : 羅国, 多羅, 伽羅
0.0006275    2 solid          : 錐体, 確実
0.0006267    2 piled          : 堆い, 堆く
0.0006261    6 money          : 贋金, 贋札, 金離れ, 借り集める, 集金, 集る
0.0006247    2 kidnap         : 引っ攫う, 攫う
0.0006239    2 worth          : 有難み, 有難味
0.0006214    1 dressed        : 経帷子
0.0006188    1 pig            : 雌豚
0.0006162    1 cricket        : 草雲雀
0.0006156    1 daikon         : 蘿蔔
0.0006150    2 days           : 七曜, 雑節
0.0006145    1 splendor       : 栄耀
0.0006139    2 swipe          : かっ攫う, 掻っ攫う
0.0006133    1 mallet         : 椎
0.0006121    1 doctrine       : 唯心
0.0006104    2 cervical       : 頚椎, 頸椎
0.0006099    4 brown          : 雉猫, 焦げ茶, 焦茶, 雀色
0.0006099    3 favor          : 眷顧, 恩顧, 愛顧
0.0006087    6 jump           : 飛躍, 躍り込む, 躍り上がる, 跳躍, 躍る, 躍り出る
0.0006064    3 cat            : 雉猫, 雌猫, 雄猫
0.0006056    2 grounding      : 坐礁, 座礁
0.0006049    5 grab           : 攫む, 一攫, 一獲, 奪いとる, 奪い取る
0.0006041    1 sutra          : 唯心
0.0006034    1 leaves         : 截頭
0.0005984    2 spin           : 錐もみ, 錐揉み
0.0005976    3 strenuous      : 奮励, 奮発, 奮闘
0.0005975    1 box            : 籬
0.0005952    3 pile           : 堆積, 堆, 雑然
0.0005945    1 inspire        : 奮激
0.0005935    1 tabby          : 雉猫
0.0005935    1 important      : 抜擢
0.0005931    5 thin           : 帷子, 截金, 羅衣, 綾羅, 羅
0.0005910    2 offering       : 雛あられ, 雛霰
0.0005894    3 title          : 雇われ, 推譲, 獲れる
0.0005868    2 headquarters   : 帷幕, 帷幄
0.0005867    1 better         : 擢んでる
0.0005851    1 fat            : 雌豚
0.0005829    1 armor          : 鎖帷子
0.0005820    8 spring         : 躍りかかる, 躍り掛かる, 躍り掛る, 躍り上がる, 躍る, 躍り, 躍り出る, 帰雁
0.0005819   20 gather         : 奮い起こす, 奮い起す, 推す, 群れ集まる, 寄り集まる, よせ集める, 寄せ集める, 取り集める, 取集める, 集く, ...
0.0005717    1 ordinal        : 四維
0.0005688    1 upright        : 倶利迦羅
0.0005655    1 luxury         : 栄耀
0.0005652    3 day            : 日雇, 日雇い, 曜日
0.0005646    1 consciousness  : 唯心
0.0005624   13 difficulty     : 暗礁, 一難, 難化, 難度, 難事, 難渋, 難航, 難儀, 難関, 難易, ...
0.0005609    6 fun            : 囃したてる, 囃し立てる, 言い囃す, 言囃す, 雑ぜっ返す, 雑ぜ返す
0.0005604    1 goshawk        : 大鷹
0.0005595    1 wrapped        : 倶利迦羅
0.0005582    1 dragon         : 倶利迦羅
0.0005558    1 propriety      : 四維
0.0005544    2 value          : 有難み, 有難味
0.0005538    1 atoll          : 環礁
0.0005512    2 relief         : 堆朱, 救護
0.0005503    6 working        : 雇われ, 奮闘, 確り, まい進, 邁進, 手離す
0.0005484    1 teaching       : 唯心
0.0005479    5 jeer           : 囃したてる, 囃し立てる, 囃す, 雑ぜっ返す, 雑ぜ返す
0.0005477    4 run            : かっ攫う, 掻っ攫う, 攫う, 進む
0.0005444    1 hammer         : 椎
0.0005442    1 existence      : 唯識
0.0005434    1 last           : 獲麟
0.0005426    1 produced       : 唯心
0.0005418    1 pondering      : 思惟
0.0005408    1 mail           : 鎖帷子
0.0005402    1 chain          : 鎖帷子
0.0005401    1 tip            : 倶利迦羅
0.0005400    4 scramble       : 奪い合う, 奪い合い, 争奪, 掻き雑ぜる
0.0005399    1 teller         : 出囃子
