Summary: {Weight} {token}: {words[0:10]}
0.0003133    2 short          : 息つぎ, 息継ぎ
0.0003125    2 letter         : 消息, 首題
0.0003099    2 modern         : 山陽道, 山陰道
0.0003089    2 necklace       : 首飾り, 首輪
0.0003079    2 Taoism         : 道仏, 道学
0.0003075    3 stale          : かび臭い, カビ臭い, 黴臭い
0.0003064    1 warship        : 艦首
0.0003057    2 tip            : 鼻先, 鼻頭
0.0003039    3 water          : 導水, 水道, 水道橋
0.0003036    5 lane           : ほそ道, 細道, 裏道, 道, 小道
0.0003032    3 samurai        : 首切り, 首斬り, 士道
0.0003031    1 deposit        : 利息
0.0003014    6 martial        : 杖道, 道長, 武道, 道場, 道着, 剣道
0.0003005    2 red            : 赤鼻, 赤道
0.0002999    3 running        : 息切れ, 北陸道, 自営
0.0002996    1 muskrat        : 臭鼠
0.0002939    3 uncouth        : 鼻つまみ, 鼻摘み, 泥臭い
0.0002938    1 stopgap        : 姑息
0.0002921    1 elementary     : 訓導
0.0002919    3 green          : 青鼻, 乳臭い, 青臭い
0.0002887    2 face           : 白粉臭い, 桟道
0.0002885    1 lampoon        : 落首
0.0002870    1 loan           : 利息
0.0002850    1 departed       : 引導
0.0002827    3 hook           : わし鼻, 鷲鼻, 段鼻
0.0002803    1 suffocating    : 息苦しい
0.0002803    1 shortness      : 息切れ
0.0002803    1 puffing        : 息切れ
0.0002783    2 news           : 消息, 報道
0.0002774    1 pause          : 一息
0.0002773    1 driven         : 鼻栓
0.0002760    2 boss           : 頭首, 首領
0.0002756    2 men            : 男臭い, 犢鼻褌
0.0002754    3 guidepost      : 道しるべ, 道芝, 道標
0.0002743    3 bloody         : 血生臭い, なま臭い, 生臭い
0.0002704    1 minor          : 指導
0.0002704    2 health         : 息災, 自重
0.0002695    1 panting        : 息切れ
0.0002692    4 passage        : 涙道, とおり道, 通り道, 道
0.0002691    3 people         : 引導, 不道, 直道
0.0002662    4 suspicious     : なま臭い, 生臭い, きな臭い, キナ臭い
0.0002660    1 movement       : 唱導
0.0002648    1 whereabouts    : 消息
0.0002648    1 interest       : 利息
0.0002631    5 turning        : 自首, わかれ道, 分かれ道, 分れ道, 別れ道
0.0002622    5 personal       : 体臭, 自用, 独自, 自説, 自家
0.0002620    4 byway          : 裏道, 横道, 抜け道, 抜道
0.0002619    1 look           : 鼻白む
0.0002617    2 roundabout     : 曲がり道, 遠道
0.0002602    1 satirical      : 落首
0.0002593    3 departure      : 首途, 出っ鼻, 出鼻
0.0002586    1 underhanded    : 姑息
0.0002586    2 nostril        : 鼻翼, 鼻孔
0.0002580    3 place          : 鼻栓, 首位, 道場
0.0002572    1 story          : 導入
0.0002571    2 province       : 山陽道, 山陰道
0.0002553    2 crosspatch     : 鼻曲がり, 鼻曲り
0.0002545    4 japonica       : 道しるべ, 道標, 道教, 道教え
0.0002545    1 wedge          : 鼻栓
0.0002543    2 hair           : 鼻毛, 自毛
0.0002534    1 action         : 指導
0.0002523    1 dirk           : 匕首
0.0002520    1 horse          : 馬首
0.0002514    3 sword          : 首切り, 首斬り, 自刃
0.0002510    1 direction      : 指導
0.0002507    1 gravel         : 砂利道
0.0002494    2 watery         : 水臭い, 水鼻
0.0002492    2 dead           : 首狩, 首狩り
0.0002489    1 makeshift      : 姑息
0.0002470    1 efficiency     : 息切れ
0.0002445    2 top            : 首席, 首脳
0.0002438    3 city           : 首府, 首都, 市道
0.0002433    1 artificial     : 付け鼻
0.0002431    1 plug           : 鼻栓
0.0002430    3 immoral        : 不道, 無道, 極道
0.0002416    2 pungent        : 劇臭, 激臭
0.0002408    1 gland          : 臭腺
0.0002403    1 oppressive     : 息苦しい
0.0002396    1 ing            : 汗臭い
0.0002391    1 repose         : 安息
0.0002390    3 name           : 西海道, 南海道, 自署
0.0002371    3 degenerate     : 生臭, なま臭い, 生臭い
0.0002356    2 flavour        : 和臭, 臭い
0.0002351    3 ethics         : 吏道, 道学, 自律
0.0002349    1 momentum       : 息切れ
0.0002340    1 misfortune     : 息災
0.0002340    2 capital        : 首府, 首都
0.0002332    3 end            : 首尾, 権道, 花道
0.0002330    2 outcast        : 鼻つまみ, 鼻摘み
0.0002330    2 class          : 白首, 首席
0.0002328    1 nosing         : 段鼻
0.0002327    3 corrupt        : 生臭, なま臭い, 生臭い
0.0002326    1 amount         : 一息
0.0002313    4 line           : 道糸, 糧道, 赤道, 弾道
0.0002307    1 vent           : 息抜き
