Summary: {Weight} {token}: {words[0:10]}
0.0006212    1 rebuke         : 嗜める
0.0006206    2 play           : 耄ける, 老松
0.0006176    1 duck           : じぶ煮
0.0006136    7 metropolitan   : 都電, 都税, 都立, 都内, 都政, 都銀, 都営
0.0006127    2 betting        : 賭け事, 賭事
0.0006098    1 sumptuous      : 豪奢
0.0006053    1 story          : 尾鰭
0.0006037    1 sleep          : 嗜眠
0.0006033   10 Japanese       : 楮紙, 著莪, 団扇海老, 藜海老, 道教, 道教え, 都々逸, 都都逸, 走野老, 車海老
0.0005960    3 three          : 三教, 三都, 三者
0.0005941    1 impertinent    : 猪口才
0.0005936    2 prefecture     : じぶ煮, 京都
0.0005899    5 breach         : 寄せ箸, 探り箸, 迷い箸, 握り箸, 移り箸
0.0005867    1 say            : 耄ける
0.0005849    1 domestic       : 猪豚
0.0005809    1 trefoil        : 都草
0.0005780    3 gamble         : 賭ける, 賭, 賭け
0.0005732    1 cheeky         : 猪口才
0.0005718    1 common         : 常考
0.0005687   13 city           : 主都, 死都, 都心, 国都, 都邑, 都市, 都銀, 都会, 都, 首都, ...
0.0005611    1 spiced         : 屠蘇
0.0005604    1 luxurious      : 豪奢
0.0005596    3 term           : 大暑, 処暑, 小暑
0.0005587    2 scabbard       : 下げ緒, 下緒
0.0005584    2 step           : 端緒, 緒
0.0005558    3 made           : 楮紙, 時雨煮, 杉箸
0.0005550    1 angelica       : 猪独活
0.0005550    1 Angelica       : 猪独活
0.0005509    1 tissue         : 楮紙
0.0005502    1 overpower      : 屠る
0.0005452    8 veteran        : 老功, 古強者, 剛の者, 老練, 老優, 老将, 老手, 老巧
0.0005441    6 literary       : 判者, 名著, 主著, 高著, 著述, 自著
0.0005438    1 lata           : 白海老
0.0005429    2 preface        : 緒論, 緒言
0.0005423    3 reduce         : 煮切る, 煮きり, 煮切り
0.0005419    3 joint          : 連署, 合著, 共著
0.0005419    1 carving        : 真魚箸
0.0005403    1 impudent       : 猪口才
0.0005373    6 way            : 儲け口, 姿煮, 教えみちびく, 教え導く, 握り箸, 教法
0.0005276    1 bark           : 楮紙
0.0005243    1 buck           : 儲け口
0.0005227    1 massacre       : 屠る
0.0005140    2 knife          : 真魚箸, 諸刃
0.0005115    1 butcher        : 屠る
0.0005005    7 think          : 考える, 考えだす, 考え出す, 考えつく, 考え付く, 考えごと, 考え事
0.0004985    1 essential      : 身嗜み
0.0004971    2 oppressive     : 劇暑, 激暑
0.0004957    2 obi            : 下げ緒, 下緒
0.0004941    3 severe         : 劇暑, 激暑, 酷暑
0.0004925   16 consideration  : 長考, 熟考, 思考, 考量, 考慮, 考察, 考査, 考究, 勘考, 考える, ...
0.0004872    2 sign           : 署する, 代署
0.0004849    1 magnificent    : 豪奢
0.0004839    7 cooking        : 下煮, 丸煮, 煮くずれ, 煮崩れ, 菜箸, 煮たき, 煮炊き
0.0004807    4 alcohol        : 煮切る, 煮きり, 煮切り, 老酒
0.0004807    3 content        : 煮切る, 煮きり, 煮切り
0.0004798    1 lack           : 不孝
0.0004795    2 knot           : 下げ緒, 下緒
0.0004771    1 godmother      : 教母
0.0004730    2 crime          : 不孝, 害者
0.0004669    5 tree           : 楮紙, 老樹, 老梅, 老い木, 老木
0.0004662    8 small          : 小著, 猪口, 蒸し煮, 蒸煮, 箸休め, 煮干, 煮干し, 小海老
0.0004658    3 job            : 儲け口, あぶれ者, 溢れ者
0.0004655    2 July           : 大暑, 小暑
0.0004654    6 teach          : 教え魔, 教えみちびく, 教え導く, 教える, 教えこむ, 教え込む
0.0004577    1 prudence       : 嗜み
0.0004552    3 temple         : 浮屠, 火箸, 南都
0.0004529    3 hold           : 真魚箸, 握り箸, 考える
0.0004496    2 sponsor        : 教母, 教父
0.0004494    1 modesty        : 嗜み
0.0004445    1 hobby          : 嗜む
0.0004445    1 moderation     : 嗜む
0.0004436    1 beget          : 儲ける
0.0004402    5 experienced    : 老功, 老練, 老農, 老巧, 老成
0.0004381    1 prudent        : 嗜む
0.0004327    1 expense        : 奢り
0.0004320    2 marinade       : 煮卵, 煮玉子
0.0004287    3 ceremony       : 真魚箸, 数奇者, 数寄者
0.0004286    1 cattle         : 屠牛
0.0004285    2 skill          : 身嗜み, 巧者
0.0004272    1 hint           : 緒
0.0004257    1 modest         : 嗜む
0.0004254   10 teacher        : 教卓, 教べん, 教鞭, 教諭, 教頭, 教師, 教官, 教員, 教生, 老師
0.0004232    2 peeled         : 煮卵, 煮玉子
0.0004206    1 preference     : 嗜好
0.0004204    3 spirit         : 計都, 情緒, 審神者
0.0004164    3 squirt         : へな猪口, 埴猪口, 老海鼠
0.0004122    1 enjoy          : 嗜む
0.0004108    1 fast           : 儲け口
0.0004076    1 countersignature: 副署
0.0004069    1 investment     : 丸儲け
0.0004058    2 Buddha         : 浮屠, 教法
0.0004035    1 buy            : 奢る
0.0004016    1 defeat         : 屠る
0.0004009    1 mythological   : 計都
0.0004008    1 showing        : 孝行
0.0003950    1 liking         : 嗜好
0.0003948    1 broad          : 白海老
0.0003870    1 restraint      : 嗜み
0.0003855    2 emotion        : 心緒, 情緒
0.0003773    8 thought        : 考えもの, 考え物, 愚考, 思考, 考, 考え, 一考, 諸家
0.0003736    1 manners        : 嗜み
0.0003724    1 disembowelment : 屠腹
0.0003718    1 thread         : 緒
0.0003671    2 great          : 丸儲け, 大著
0.0003670    2 greenhorn      : へな猪口, 埴猪口
0.0003653    2 seasoned       : 老功, 老巧
0.0003634    2 weather        : 処暑, 暑気
0.0003602    1 meal           : 奢る
0.0003591    1 behaviour      : 嗜む
0.0003569    2 novice         : へな猪口, 埴猪口
0.0003553    1 celestial      : 計都
0.0003539    1 live           : 奢る
0.0003505    3 give           : 奢る, 教えさとす, 教え諭す
0.0003495    5 large          : 大儲け, 三都, 著大, 諸々, 諸諸
0.0003490    2 care           : 嗜み, 胎教
0.0003464    2 season         : 極暑, 向暑
0.0003448    1 seppuku        : 屠腹
0.0003443    1 watch          : 嗜む
0.0003438    1 drink          : 奢る
0.0003431    3 goods          : 嗜み, 諸式, 諸色
0.0003431    3 emperor        : 親署, 皇考, 元老
0.0003427    8 town           : 死都, 学都, 長者, 都邑, 都鄙, 都城, 都市, 州都
0.0003370    3 serving        : 取り箸, 猪口, 菜箸
0.0003366    1 blistering     : 大暑
0.0003365    1 lead           : 緒
0.0003326    2 wave           : 炎暑, 猛暑
0.0003320    3 bear           : 儲ける, 著る, 考える
0.0003311    1 clear          : 丸儲け
0.0003298    3 pretender      : 似非者, 偽者, 贋者
0.0003295    5 chief          : 署長, 主著, 長者, 家老, 大老
0.0003276    1 winter         : 寒暑
0.0003272    1 experience     : 嗜み
0.0003242    1 earn           : 儲ける
0.0003237    1 noble          : 親署
0.0003219    1 dorsal         : 背鰭
0.0003216    1 propaganda     : 教宣
0.0003210    2 height         : 盛暑, 暑中
0.0003200    1 publicity      : 教宣
0.0003197    1 sandal         : 鼻緒
