Summary: {Weight} {token}: {words[0:10]}
0.0006602    1 sand           : 団扇海老
0.0006601    2 light          : 偏光, 涙雨
0.0006582    2 strap          : 肩ひも, 肩紐
0.0006580    1 engage         : 雇い入れる
0.0006496    2 pounding       : 肩たたき, 肩叩き
0.0006457    1 impact         : 煽り
0.0006404    1 leaf           : 裏扉
0.0006401    1 flattery       : 煽て
0.0006393    1 fluid          : 涙液
0.0006383    5 time           : 一遍, 涙雨, 為所, 出所, 捨て所
0.0006320    3 neck           : 肩衝, 肩こり, 肩凝り
0.0006313    1 special        : 眷顧
0.0006303    4 loan           : 受戻し, 請け戻し, 請戻し, 受け戻し
0.0006299    4 workshop       : 画房, 作物所, 工房, 仏所
0.0006252    2 weeping        : 涙もろい, 涙脆い
0.0006203    2 moon           : 房宿, 月偏
0.0006198    1 solicitude     : 顧慮
0.0006151    2 novelette      : 中篇, 中編
0.0006099    2 masterpiece    : 雄篇, 雄編
0.0006083    1 reflecting     : 顧み
0.0006069    2 ovary          : 房室, 子房
0.0006061    2 novella        : 中篇, 中編
0.0006061    9 passage        : 涙道, 所, か所, カ所, ケ所, ヵ所, ヶ所, 個所, 箇所
0.0006031    3 sloping        : なで肩, 撫で肩, 撫肩
0.0006005    4 formation      : 新篇, 編隊, 新編, 編成
0.0005964    1 satellite      : 房宿
0.0005955    1 ancient        : 玉篇
0.0005951    1 man            : 行人偏
0.0005941    2 stiff          : 肩こり, 肩凝り
0.0005916    1 adviser        : 顧問
0.0005911    1 misrepresent   : 騙る
0.0005904    3 epaulet        : 肩章, 肩当, 肩当て
0.0005873   47 place          : 当所, 仏所, 置き所, 秘所, 拝所, 休み所, 行き所, 隠し所, 衛所, 明所, ...
0.0005855    4 deviation      : 偏角, 偏差, 偏倚, 偏り
0.0005834    2 white          : 白房, 白扇
0.0005822    1 advisor        : 顧問
0.0005781    2 daily          : 日雇, 日雇い
0.0005753    1 vicinity       : 四顧
0.0005692    2 language       : 扁たい, 余所行き
0.0005669    1 client         : 顧客
0.0005663    1 locule         : 房室
0.0005663    1 atria          : 房室
0.0005660    4 moment         : 瀬戸際, 肩すかし, 肩透かし, 出所
0.0005646    2 neighborhood   : 四顧, 近所
0.0005634    1 patron         : 顧客
0.0005631    5 shouldering    : 肩がわり, 肩代り, 肩代わり, 肩替り, 肩替わり
0.0005624    6 ground         : 地炉, 捩じ倒す, 低所, 落し所, 落とし所, 高所
0.0005594    1 returned       : 戻り値
0.0005537    2 kiln           : 転炉, 炉
0.0005528    3 Japanese       : 団扇海老, 蔀戸, 団扇
0.0005525    1 falsify        : 騙る
0.0005516    2 seal           : 騙る, 印房
0.0005513    3 stove          : 暖炉, 煖炉, 焜炉
0.0005493    5 subrogation    : 肩がわり, 肩代り, 肩代わり, 肩替り, 肩替わり
0.0005467    2 atelier        : 画房, 工房
0.0005467    7 side           : くぐり戸, 潜り戸, 脇戸, 片偏, 切り戸, 偏る, 所
0.0005452    2 talk           : 煽てる, 閨房
0.0005443    1 concerning     : 顧み
0.0005335    3 vomit          : 吐き戻す, 吐き戻し, 戻す
0.0005312    1 attack         : 騙し討ち
0.0005268    1 frontispiece   : 扉絵
0.0005262    1 soaking        : 水戻し
0.0005261    4 eccentric      : 偏物, 偏人, 偏屈, 偏窟
0.0005220    2 jewel          : 王偏, 玉偏
0.0005207    5 refund         : 払戻, 払い戻す, 払戻す, 払い戻し, 払戻し
0.0005192    1 influence      : 煽り
0.0005169    2 humor          : 騙す, 房水
0.0005162    2 fireside       : 炉辺, 炉端
0.0005153    1 pronounced     : 肩衝
0.0005115    1 sweet          : 煽てる
0.0005099    1 cable          : 縄編み
0.0005074    3 large          : 煽る, 戸板, 政所
0.0005071    5 organization   : 新篇, 新編, 編成, 編制, 所属
0.0005066    2 tear           : 涙腺, 涙
0.0005035    4 bedroom        : 房室, 閨房, 臥所, 寝所
0.0005027    1 drive          : 煽る
0.0004974    1 drawing        : 煽り
0.0004895    1 review         : 回顧
0.0004859    1 constellation  : 房宿
0.0004855    1 deutomerite    : 後房
0.0004835    3 bamboo         : 簾戸, 編み戸, 編戸
0.0004813    1 customer       : 顧客
0.0004797    1 fraud          : 騙り
