Summary: {Weight} {token}: {words[0:10]}
0.0002253    2 row            : こぎ出す, 漕ぎ出す
0.0002237    8 rise           : うかび出る, 浮かび出る, 浮び出る, せり出す, 迫り出す, 迫出す, 浮き出る, 浮出る
0.0002230    6 period         : 出女, 出役, 呼び出し, 呼出, 呼出し, 出府
0.0002213    7 pushing        : 決め出し, 押し出し, 押出し, 突出し, つき出し, 突き出し, 送り出し
0.0002211    2 grab           : つかみ出す, 掴み出す
0.0002208    1 repair         : 出渠
0.0002200    8 light          : 照らし出す, えぐり出す, 抉り出す, あぶり出す, 炙り出す, 焙り出す, 洗い出す, 洗い出し
0.0002191    5 pour           : 紡ぎ出す, あふれ出す, 溢れ出す, 流れ出る, 流れ出す
0.0002187    1 parking        : 出車
0.0002159    8 discover       : 尋ね出す, 見い出す, 見出す, 見出だす, さがし出す, 捜し出す, 探し出す, 洗い出す
0.0002136    1 weave          : 織り出す
0.0002130    4 fourth         : 張り出, 張出, 張り出し, 張出し
0.0002127    7 door           : 出待ち, せり出す, 迫り出す, 迫出す, 呼び出す, 呼出す, 出る
0.0002110    6 slip           : 忍び出る, 滑り出る, 抜け出る, 脱け出る, 抜け出す, 脱け出す
0.0002107    6 leak           : 漏れ出す, 漏出, 流出, 流れ出る, 流れ出す, 出口
0.0002070    4 crawl          : はい出す, 這い出す, はい出る, 這い出る
0.0002028   10 food           : 炊き出し, 炊出し, 焚き出し, 焚出し, 仕出す, 仕出し, 揚げ出し, 揚出し, 出前, 出す
0.0002024    5 ladle          : すくい出す, 掬い出す, くみ出す, 汲み出す, 汲出す
0.0002010    3 dye            : 色出し, 染め出す, 染出す
0.0002006    2 cold           : 水出し, 水出
0.0001994    9 meeting        : 出ずっぱり, 顔出し, 出迎え, 出会, 出会い, 出合, 出合い, 出逢い, 出遭い
0.0001985    1 machine        : 削り出す
0.0001982    3 room           : つかみ出す, 掴み出す, 走り出る
0.0001968    4 washing        : 洗い出す, 洗い出し, もみ出す, 揉み出す
0.0001955    4 unlicensed     : 出女, 呼び出し, 呼出, 呼出し
0.0001953    3 brew           : 水出し, 水出, 出花
0.0001950    6 spout          : 吹き出る, 噴き出る, 吹き出す, 吹出す, 噴き出す, 噴出す
0.0001950    3 capital        : 出京, 流出, 出府
0.0001949   10 send           : 積み出す, 吹き出す, 吹出す, 噴き出す, 噴出す, 出す, くり出す, 繰り出す, 繰出す, 送り出す
0.0001945    2 venue          : 出禁, 出場
0.0001943    8 open           : あぶり出す, 炙り出す, 焙り出す, 呼び出す, 呼出す, むき出し, 剝き出し, 剥き出し
0.0001942    8 think          : 考え出す, ひねり出す, 捻り出す, うみ出す, 生み出す, 産み出す, あみ出す, 編み出す
0.0001919    5 exposure       : 露出, 裸出, 摘出, 剔出, 洗い出し
0.0001918    7 workmanship    : 不出来, 出来ばえ, 出来映え, 出来栄え, 出来上がり, 出来上り, 出来
0.0001913    6 success        : 大出来, 出来ばえ, 出来映え, 出来栄え, 上出来, 出世
0.0001910    6 burst          : 歌い出す, 吹き出す, 吹出す, 噴き出す, 噴出す, 出す
0.0001899    6 confluence     : 出会, 出会い, 出合, 出合い, 出逢い, 出遭い
