Summary: {Weight} {token}: {words[0:10]}
0.0008055    9 clothing       : 紋付, 紋付き, 袖丈, ひざ丈, 膝丈, 身丈, 衣更え, 丈, 紋服
0.0008025    3 confused       : 紊れる, 雑駁, 繁雑
0.0008008    5 disaster       : 變, 兇変, 救民, 凶運, 凶変
0.0007991    6 bamboo         : 竹薮, 竹篦, 篦, 虎杖, 笹藪, 竹藪
0.0007983    6 grove          : 薮, 竹薮, 屋敷林, 藪の中, 藪, 竹藪
0.0007981    7 shrine         : 神籬, 幣殿, 斎垣, 禰宜, 神紋, 屋敷神, 願文
0.0007958    2 rebuke         : 厳責, 警める
0.0007943    3 neat           : 整斉, 斉整, 清爽
0.0007880    1 convergence    : 収斂
0.0007828    2 alum           : 明礬, 礬水
0.0007778    1 flagellum      : 鞭毛
0.0007776    3 white          : 橄欖, 胸肉, 斎服
0.0007761   25 political      : 政柄, 政況, 政略, 政友, 党史, 政変, 硬派, 政敵, 政情, 政財界, ...
0.0007755   10 pitiful        : 憫然, 不憫, 憫れ, 不甲斐ない, 腑甲斐ない, 腑甲斐無い, 不便, 幼気, 気のどく, 気の毒
0.0007723   15 old            : 旧敵, 老躯, 旧弊, 故実, 故旧, 故里, 故い, 旧図, 故老, 故人, ...
0.0007715    1 stingy         : 吝い
0.0007710    1 towering       : 危巌
0.0007709    4 outline        : 梗概, 史略, 要図, 構図
0.0007677    3 screening      : 遮蔽, 掩蔽, 厳選
0.0007673    3 temporary      : 廠舎, 便殿, 気休め
0.0007663    2 cheap          : 吝い, 激安
0.0007642    2 cylindrical    : 靱, 本数
0.0007609    2 abundant       : 藪沢, 贅沢
0.0007582    5 bush           : 薮, 藪犬, 繁み, 草藪, 藪
0.0007578    1 swath          : 神籬
0.0007560    2 observation    : 見倣う, 緻密
0.0007551    1 abstract       : 梗概
0.0007517    5 stick          : 鞭, 竹篦, 黐竿, 警策, 杖
