Summary: {Weight} {token}: {words[0:10]}
0.0008352   28 head           : 擡げる, 擡頭, 亭主, 知客, 阿弥陀, 阿彌陀, 額髪, 宮号, 天窓, 院主, ...
0.0008344    3 calmness       : 寧静, 寂静, 沈着
0.0008332  115 house          : 尊宅, 長家, 一宇, 全家, 小宅, 泊り客, 宅, 宮号, 宅診, 新宅, ...
0.0008310    3 soothe         : 宥めすかす, 宥め賺す, 宥める
0.0008297    1 fiendish       : 獰悪
0.0008225    1 extinguished   : 螢火
0.0008176    1 slush          : 泥濘
0.0008168    2 windmill       : 棕梠, 棕櫚
0.0008069    5 photo          : 寫眞, 写メる, 写メ, 写真, 激写
0.0008054   41 shrine         : 廟宇, 殿宇, 富くじ, 富籤, 冥加, 別宮, 神宮寺, 祢宜, 禰宜, 若宮, ...
0.0008020    3 faltering      : 覺束ない, 淀, 淀み
0.0008017    4 university     : 大學, 學生, 牢人, 教室
0.0008009    6 hot            : 貯湯, 壺湯, 溶剤, 浴客, 寝湯, 寒暑
0.0008008    1 gaining        : 擡頭
0.0007991   17 sword          : 鉈豆, 腕貫, 刀狩, 刀狩り, 按ずる, 按じる, 穿く, 守り刀, 守刀, 正宗, ...
0.0007990    1 mire           : 泥濘
0.0007934    5 supervision    : 統轄, 指揮, 主宰, 宰領, 主管
0.0007903    3 snapshot       : 寫眞, 速写, 写真
0.0007888    3 lover          : 密夫, 寝とる, 寝取る
0.0007873   22 pillow         : 菊枕, 枕返し, 抱き枕, 枕投げ, 木枕, 腕枕, 枕ことば, 枕言葉, 枕詞, 枕経, ...
0.0007814    2 larceny        : 窃盗, 窃取
0.0007798   12 shape          : 佇い, 佇まい, 海老錠, 麗容, 姿容, 山容, 擦り合せ, 蛇腹, 擦り合わせ, 定形, ...
0.0007775    4 crimp          : 縮らせる, 捲縮, 縮れ, 縮らす
0.0007766    2 sludge         : 泥濘, 沈渣
0.0007756    4 sturdy         : 鉈, 大鉈, 究竟, 堅牢
0.0007733   13 plant          : 蕗の薹, 苧, 搾菜, 房室, 豆殻, 宿り木, 宿木, 突き立てる, 突っ立てる, 突立てる, ...
0.0007714    6 insight        : 管窺, 透察, 高察, 明察, 洞察, 管見
0.0007714   32 something      : 佗言, 襤褸滓, 究める, 穿り出す, 多寡, 窮める, 口寂しい, 宛, 宛て, 写り込み, ...
0.0007688    5 uncertain      : 覺束ない, 渾沌, 定めない, 定め無い, 不確か
0.0007669    2 Hibiscus       : 芙蓉, 無窮花
0.0007660    1 disappearance  : 失踪
0.0007649    9 theory         : 確説, 理窟, 定論, 実理, 定説, 実地, 実際, 空論, 空理
0.0007630    1 instance       : 審級
0.0007629    6 festival       : 祭官, 宵祭, 宵祭り, 宵山, 宵宮, 夜宮
0.0007626    1 beef           : 鞍下
0.0007608    6 friendly       : 友誼, 誼, 誼み, 情誼, 情宜, 友軍
0.0007606   10 article        : 綰物, 安物, 什宝, 宝器, 秘宝, 冠詞, 穴うめ, 穴埋め, 実, 割れ物
0.0007600   31 temple         : 宇, 堂宇, 富くじ, 富籤, 冥加, 神宮寺, 龍穴, 禅院, 奥の院, 分院, ...
0.0007581   19 whole          : 渾然, 渾て, 渾身, 全家, 宇内, 完泳, 完投, 全軍, 一軍, 全寮, ...
0.0007580   11 running        : 失踪, 竄入, 完走, 続け字, 稼働, 稼動, 運転, 運行, 実動, 衝突, ...
0.0007559    1 exculpation    : 雪冤
0.0007551    2 fig            : 雀榕, 榕
0.0007503    5 bleak          : 索寞, 荒寥, 寒々, 寒寒, 寒々しい
0.0007502    6 standing       : 佇立, 佇み, 冢, 代演, 塚, 家柄
0.0007458   25 night          : 宵月, 枕返し, 待宵, 完徹, 宵祭, 宵祭り, 徹宵, 宵っぱり, 宵っ張り, 元宵, ...
0.0007445   26 make           : 詫びる, 稼ぎ時, 窄める, 富ます, 暈かす, 暈す, 控える, 帯枕, 容れる, 鶯張り, ...
0.0007445    3 six            : 八宗, 六輝, 監守
0.0007445    2 haggard        : 面窶れ, 窶れる
0.0007424    1 stream         : 淙淙
0.0007387    1 areola         : 乳暈
0.0007376   11 spring         : 蕗の薹, 春窮, 初鶯, 壺湯, 春宵, 寝湯, 帰雁, 残寒, 吹き寄せる, 春寒, ...
0.0007348   10 dissolve       : 熔ける, 熔かす, 溶暗, 溶ける, 溶け出す, 溶けこむ, 溶け込む, 溶込む, 溶く, 溶かす
0.0007338    4 forlorn        : 寂寞, 心寂しい, うら寂しい, 孤軍
0.0007311    2 copious        : 渾々, 渾渾
0.0007286   89 family         : 鮟鱇, 螟蛾, 三家, 富家, 全家, 新宅, お宅, 宮室, 嫁ぐ, 嫁ぎ, ...
0.0007260   12 breaking       : 掟破り, 板割り, 牢破り, 破牢, 鏡割, 鏡割り, 音割れ, 突入, 突破, 雪割, ...
0.0007233    5 shabby         : 佗しい, 見窄らしい, 侘しい, 侘びしい, ぼろ家
0.0007222    5 propaganda     : 宣材, 情宣, 教宣, 宣伝, 街宣
0.0007218    5 phone          : 写メール, 写メる, 牽く, 写メ, 控える
0.0007216    3 mobile         : 写メール, 写メる, 写メ
