Summary: {Weight} {token}: {words[0:10]}
0.0003267    2 serious        : 大罪, 重罪
0.0003261    2 diacritic      : 濁り, 濁点
0.0003260    1 revilement     : 漫罵
0.0003244    1 iron           : 鉄環
0.0003234    1 impure         : 濁る
0.0003165    1 mark           : 罰点
0.0003143    1 shackle        : 連環
0.0003138    1 wage           : 罰俸
0.0003119    1 calling        : 召還
0.0003106    1 wrath          : 天罰
0.0003102    1 number         : 罪数
0.0003091    3 base           : 置き台, 置台, 苧環
0.0003089    1 deoxidization  : 還元
0.0003081    1 thick          : 濁声
0.0003075    1 noble          : 親署
0.0003065    3 netting        : 網針, 金網, 網
0.0003027    4 round          : まき網, 巻き網, 巻網, 旋網
0.0003021    1 recapture      : 奪還
0.0003001   10 set            : 建て網, 建網, 立て網, 立網, 取り置く, さて置く, 扠置く, 置く, 買いそろえる, 買い揃える
0.0002998    2 chain          : 連環, 一環
0.0002989    1 suspension     : 懸濁
0.0002971    1 inevitability  : 必罰
0.0002957    2 age            : 還暦, 髪置き
0.0002957    1 penalize       : 罰する
0.0002914    1 deoxidation    : 還元
0.0002901    1 secularization : 還俗
0.0002882    1 drunk          : 罰杯
0.0002882   16 something      : 置きどころ, 置き所, 置く, 買い切り, 買い足す, 置き場, 置場, 買いかえる, 買い換える, 買い替える, ...
0.0002873    2 cycle          : 還暦, 循環
0.0002873    1 amortization   : 償還
0.0002813    2 fill           : 網かけ, 網掛け
0.0002802    1 links          : 連環
0.0002793    1 earring        : 耳環
0.0002784    1 unfiltered     : 濁り酒
0.0002784    1 deportation    : 送還
0.0002783    1 looking        : 環視
0.0002768    1 worn           : 環
0.0002765    1 sinking        : 堕罪
0.0002754    1 captive        : 羅致
0.0002745    2 opaque         : 混濁, 溷濁
0.0002742    1 derision       : 漫罵
0.0002735    2 web            : 電網, 網
0.0002729    1 cause          : 羅睺
0.0002729    3 name           : 自署, 罪名, 暹羅
0.0002720    3 accusation     : 問罪, えん罪, 冤罪
0.0002705    2 holder         : 置き台, 置台
0.0002699    1 disparagement  : 罵倒
0.0002696    1 eternal        : 劫罰
0.0002693    2 guilt          : 罪科, 有罪
0.0002692    1 demerit        : 罰点
0.0002679    2 current        : 還流, 環流
0.0002645    1 feedback       : 帰還
0.0002640    1 reward         : 賞罰
0.0002639    1 offender       : 罪人
0.0002639    1 helix          : 耳環
0.0002637    1 losing         : 罰杯
0.0002633    1 bureau         : 部署
0.0002629    1 surviving      : 生還
0.0002605    1 atoll          : 環礁
0.0002601    2 platform       : 置き台, 置台
0.0002601    1 drawback       : 還付
0.0002599    1 suitable       : 天罰
0.0002589    1 spirit         : 羅睺
0.0002587    3 redemption     : 償還, 買い戻し, 買戻し
0.0002579    1 sneer          : 冷罵
0.0002537    1 autograph      : 自署
0.0002502    2 state          : 懸濁, 置く
0.0002491    1 late           : 罰杯
0.0002485    3 stand          : 置き台, 置台, 静置
0.0002484    1 invective      : 痛罵
0.0002482    1 creek          : 濁り江
0.0002476    1 God            : 天罰
0.0002465    1 secular        : 還俗
0.0002453    2 branch         : 分署, 分置
0.0002445    1 reckoning      : 還暦
0.0002436    1 minor          : 微罪
0.0002435    1 linking        : 連環
0.0002428    1 joint          : 連署
0.0002427    2 fault          : 罪過, 罪
0.0002416    1 taunt          : 嘲罵
0.0002408    1 refund         : 還付
0.0002406    1 scathing       : 罵倒
0.0002398    1 repayment      : 償還
0.0002394    1 talented       : 羅致
0.0002382    1 guttural       : 濁声
0.0002374    2 chaos          : 混濁, 溷濁
0.0002372    2 decapitation   : 斬罪, 断罪
0.0002366    1 insulting      : 嘲罵
0.0002358    1 reaching       : 生還
0.0002358    2 trial          : 試し買い, 試買
0.0002332    3 mist           : かすみ網, カスミ網, 霞網
0.0002325    1 department     : 部署
0.0002321    3 area           : 網かけ, 網掛け, 安置
0.0002283    1 inlet          : 濁り江
0.0002279    1 lived          : 還暦
0.0002271    1 torus          : 円環
0.0002256    1 alive          : 生還
0.0002254    2 liquid         : 濁る, 濁す
0.0002253    2 amends         : 罪ほろぼし, 罪滅ぼし
0.0002245    1 punish         : 罰する
0.0002243    1 string         : 網袋
0.0002238    1 section        : 部署
0.0002210    1 X              : 罰点
0.0002208    2 school         : 置き勉, 購買
0.0002205    2 consciousness  : 混濁, 溷濁
0.0002203    1 insult         : 罵り
0.0002197    3 Stewartia      : 姫沙羅, 娑羅, 沙羅
0.0002188    1 recovery       : 奪還
0.0002185    1 garment        : 羅衣
0.0002168    1 husky          : 濁声
0.0002166    2 dim            : 混濁, 溷濁
0.0002159    2 Latin          : 羅典, 羅甸
0.0002158    1 sending        : 送還
0.0002130    1 cut            : 罰俸
0.0002128    2 growing        : 混濁, 溷濁
0.0002119    1 biological     : 帰還
0.0002116    1 prefixed       : 連濁
0.0002099    1 gathering      : 羅致
0.0002066    1 mankind        : 濁世
0.0002064    1 prince         : 還啓
0.0002052    2 confederacy    : 迦羅, 加羅
0.0002041    1 corporal       : 体罰
0.0002029    1 grave          : 大罪
0.0002028    1 shogun         : 還御
0.0002019    1 voicing        : 連濁
0.0002017    1 resolution     : 還元
0.0002014    6 good           : 清濁, 功罪, 一張羅, 買い時, 買い得, 買得
0.0002014    1 surrounded     : 環海
0.0002012    1 birthday       : 還暦
0.0002008    1 removal        : 羅切
0.0001999    1 dictionary     : 羅和
0.0001995    1 sexagenary     : 還暦
0.0001992    2 Mara           : 摩羅, 魔羅
0.0001983    2 stone          : 置き石, 置石
0.0001977    1 felony         : 重罪
0.0001971    1 crown          : 還啓
0.0001969    1 degenerate     : 濁世
0.0001959    2 misdeed        : 罪ほろぼし, 罪滅ぼし
0.0001952    1 purity         : 清濁
